,Augusta Place,Coroboree Park,"Crace, Drooka Cres",Dickson Ambulance,Forde,Hackett Oval,Hannah Community Park,Kaleen Primary,Lake Ginninderra,Lockhart Place Playground,Lyneham shops creek,MacKellar Cook,Narrabundah German club,O'connor banksia wetland,Palmerston,Reeve Close,Telopea Park,University Campus,War memorial,Watson Dog Park,Watson Oval,Watson Pottery,Yarralumla Primary
Augusta Place,0,0,0,0,14,0,0,0,0,25,0,0,0,0,4,15,0,0,0,0,0,0,0
Coroboree Park,0,0,0,0,0,3,16,0,0,0,7,0,3,1,0,0,0,1,193,0,0,0,0
"Crace, Drooka Cres",0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0
Dickson Ambulance,0,0,0,0,0,25,0,0,0,1,25,0,0,5,0,0,0,0,0,24,16,11,0
Forde,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0
Hackett Oval,0,6,2,7,0,0,0,1,0,3,13,0,0,3,2,1,0,0,29,121,19,12,0
Hannah Community Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaleen Primary,0,0,1,4,0,1,0,0,13,0,26,0,0,37,1,1,0,10,0,3,1,1,0
Lake Ginninderra,0,0,0,0,0,0,0,2,0,0,22,0,0,119,0,0,0,10,0,0,0,0,0
Lockhart Place Playground,14,0,0,0,16,3,0,0,0,0,0,0,0,0,4,14,0,0,0,8,0,1,0
Lyneham shops creek,0,5,1,62,0,11,0,2,29,0,0,0,1,750,1,1,0,39,53,93,107,56,0
MacKellar Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Narrabundah German club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0
O'connor banksia wetland,0,4,0,9,0,1,0,9,126,0,431,0,1,0,0,0,0,146,16,14,15,9,0
Palmerston,11,0,1,1,8,6,0,1,0,18,1,0,0,0,0,12,0,0,0,16,0,1,0
Reeve Close,15,0,1,0,15,1,0,1,0,25,1,0,0,0,5,0,0,0,0,1,0,0,0
Telopea Park,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0
University Campus,0,2,0,0,0,0,8,0,8,0,28,0,0,174,0,0,0,0,7,0,0,0,0
War memorial,0,194,2,0,0,18,160,0,0,0,35,0,21,4,0,0,17,13,0,0,0,0,0
Watson Dog Park,25,0,1,35,15,132,0,1,0,49,53,0,0,2,24,26,0,0,0,0,150,83,0
Watson Oval,30,0,0,14,18,26,0,0,0,42,68,0,0,10,18,30,0,0,0,158,0,72,0
Watson Pottery,20,0,0,8,12,15,0,0,0,28,25,0,0,2,12,20,0,0,0,69,68,0,0
Yarralumla Primary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
