"","SITES_NIGHT","WEIGHTED_DEGREE","UNWEIGHTED_DEGREE","BETWEENESS"
"1","Augusta Place",13,4,0
"2","Coroboree Park",8,4,1.16666666666667
"3","Crace, Drooka Cres",5,4,10.8333333333333
"4","Dickson Ambulance",48,5,0
"5","Forde",141,5,0
"6","Hackett Oval",165,7,14.875
"7","Hannah Community Park",70,2,0
"8","Kaleen Primary",15,5,5.16666666666667
"9","Lake Ginninderra",81,3,0.166666666666667
"10","Lockhart Place Playground",71,5,0.75
"11","Lyneham shops creek",368,10,39.5833333333333
"12","MacKellar Cook",1,1,0
"13","Narrabundah German club",21,1,0
"14","O'connor banksia wetland",619,6,7.83333333333333
"15","Palmerston",34,8,38.6666666666667
"16","Reeve Close",21,3,0
"17","University Campus",122,5,8
"18","War memorial",30,5,22.1666666666667
"19","Watson Dog Park",286,5,17.2916666666667
"20","Watson Pottery",37,4,0
"21","Yarralumla Primary",1,1,0
